Time,time,team,towers,team_gold,team_kills,top_kill,top_death,top_assist,top_gold,jungle_kill,jungle_death,jungle_assist,jungle_gold,mid_kill,mid_death,mid_assist,mid_gold,bot_kill,bot_death,bot_assist,bot_gold,supp_kill,supp_death,supp_assist,supp_gold
51,00:51,JDG,0,4400,1,1,0,0,1261,0,0,0,757,0,0,0,876,0,0,0,771,0,0,0,686
52,00:52,STM,0,3900,0,0,1,0,735,0,0,0,760,0,0,0,920,0,0,0,775,0,0,0,670
52,00:52,JDG,0,4400,1,1,0,0,1265,0,0,0,760,0,0,0,880,0,0,0,782,0,0,0,697
53,00:53,STM,0,4000,0,0,1,0,742,0,0,0,767,0,0,0,1032,0,0,0,782,0,0,0,677
53,00:53,JDG,0,4400,1,1,0,0,1272,0,0,0,767,0,0,0,887,0,0,0,789,0,0,0,704
54,00:54,STM,0,4000,0,0,1,0,745,0,0,0,771,0,0,0,1035,0,0,0,785,0,0,0,680
54,00:54,JDG,0,4400,1,1,0,0,1275,0,0,0,771,0,0,0,890,0,0,0,793,0,0,0,708
56,00:56,STM,0,4000,0,0,1,0,749,0,0,0,774,0,0,0,1039,0,0,0,789,0,0,0,684
56,00:56,JDG,0,4500,1,1,0,0,1344,0,0,0,774,0,0,0,924,0,0,0,796,0,0,0,711
57,00:57,STM,0,4100,0,0,1,0,752,0,0,0,778,0,0,0,1042,0,0,0,792,0,0,0,687
57,00:57,JDG,0,4700,1,1,0,0,1412,0,0,0,802,0,0,0,942,0,0,0,800,0,0,0,715
58,00:58,STM,0,4100,0,0,1,0,756,0,0,0,781,0,0,0,1046,0,0,0,796,0,0,0,691
58,00:58,JDG,0,4800,1,1,0,0,1416,0,0,0,877,0,0,0,946,0,0,0,803,0,0,0,718
59,00:59,STM,0,4100,0,0,1,0,759,0,0,0,785,0,0,0,1049,0,0,0,799,0,0,0,694
59,00:59,JDG,0,4900,1,1,0,0,1459,0,0,0,905,0,0,0,1014,0,0,0,807,0,0,0,722
60,01:00,STM,0,4100,0,0,1,0,763,0,0,0,788,0,0,0,1053,0,0,0,803,0,0,0,698
60,01:00,JDG,0,5100,1,1,0,0,1463,0,0,0,908,0,0,0,1018,0,0,0,940,0,0,0,730
61,01:01,STM,0,4100,0,0,1,0,766,0,0,0,816,0,0,0,1056,0,0,0,806,0,0,0,701
61,01:01,JDG,0,5100,1,1,0,0,1466,0,0,0,912,0,0,0,1021,0,0,0,944,0,0,0,794
62,01:02,STM,0,4200,0,0,1,0,770,0,0,0,819,0,0,0,1060,0,0,0,825,0,0,0,705
62,01:02,JDG,0,5400,1,1,0,0,1510,0,0,0,915,0,0,0,1065,0,0,0,1027,0,0,0,837
63,01:03,STM,0,4200,0,0,1,0,773,0,0,0,847,0,0,0,1063,0,0,0,828,0,0,0,708
63,01:03,JDG,0,5400,1,1,0,0,1513,0,0,0,919,0,0,0,1068,0,0,0,1031,0,0,0,841
64,01:04,STM,0,4300,0,0,1,0,777,0,0,0,922,0,0,0,1067,0,0,0,832,0,0,0,712
64,01:04,JDG,0,5400,1,1,0,0,1517,0,0,0,922,0,0,0,1072,0,0,0,1034,0,0,0,844
65,01:05,STM,0,4300,0,0,1,0,780,0,0,0,926,0,0,0,1070,0,0,0,850,0,0,0,715
65,01:05,JDG,0,5500,1,1,0,0,1565,0,0,0,926,0,0,0,1075,0,0,0,1038,0,0,0,848
66,01:06,STM,0,4400,0,0,1,0,809,0,0,0,929,0,0,0,1074,0,0,0,854,0,0,0,719
66,01:06,JDG,0,5500,1,1,0,0,1569,0,0,0,929,0,0,0,1119,0,0,0,1041,0,0,0,851
